City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Blackmans Bay,-43.0167,147.3167,8.62,85,100,2.57,AU,1691678593
1,Grytviken,-54.2811,-36.5092,-3.76,90,93,3.76,GS,1691678593
2,Tiksi,71.6872,128.8694,16.83,48,7,3.29,RU,1691678593
3,Novodvinsk,64.4165,40.8122,26.69,51,0,1.75,RU,1691678593
4,Sao Joao Da Barra,-21.6403,-41.0511,25.05,75,49,6.05,BR,1691678593
5,Iqaluit,63.7506,-68.5145,4.85,100,75,2.57,CA,1691678593
6,Port-Aux-Francais,-49.35,70.2167,5.1,97,100,14.61,TF,1691678593
7,Invercargill,-46.4,168.35,1.68,91,100,1.79,NZ,1691678593
8,Bilibino,68.0546,166.4372,8.04,81,96,2.18,RU,1691678593
9,Remire-Montjoly,4.9167,-52.2667,32.02,62,75,4.12,GF,1691678594
10,Tongliao,43.6125,122.2653,18.26,89,1,3.71,CN,1691678594
11,Vilyuchinsk,52.9306,158.4028,12.15,89,26,1.45,RU,1691678594
12,College,64.8569,-147.8028,14.33,96,100,1.54,US,1691678594
13,Vadso,70.0744,29.7487,27.49,57,0,5.14,NO,1691678594
14,Tchaourou,8.8865,2.5975,25.64,83,91,2.92,BJ,1691678594
15,West Island,-12.1568,96.8225,25.99,83,40,6.17,CC,1691678594
16,Georgetown,5.4112,100.3354,27.97,83,20,2.68,MY,1691678395
17,Ilulissat,69.2167,-51.1,5.01,87,75,2.57,GL,1691678594
18,Jamestown,42.097,-79.2353,20.77,94,100,1.54,US,1691678577
19,Steinbach,50.1667,8.5667,27.41,42,0,2.06,DE,1691678594
20,Puerto Natales,-51.7236,-72.4875,3.04,98,100,2.02,CL,1691678594
21,Itanhem,-17.1664,-40.33,25.52,56,88,3.56,BR,1691678594
22,Chernomorskoye,45.5039,32.6997,25.04,66,72,6.46,UA,1691678594
23,Pointe-Noire,-4.7761,11.8635,25.04,73,20,6.69,CG,1691678594
24,Nadym,65.5333,72.5167,11.08,66,98,11.03,RU,1691678594
25,Wailua Homesteads,22.0669,-159.378,26.44,84,100,6.69,US,1691678594
26,Kauhajoki,62.4333,22.1833,17.99,66,99,1.79,FI,1691678594
27,Hermanus,-34.4187,19.2345,18.39,61,0,0.58,ZA,1691678594
28,Vila Velha,-20.3297,-40.2925,25.97,75,75,4.63,BR,1691678595
29,Port Elizabeth,-33.918,25.5701,27.28,64,0,5.14,ZA,1691678339
30,Port Mathurin,-19.6833,63.4167,23.09,74,3,6.39,MU,1691678595
31,Yellowknife,62.456,-114.3525,16.29,67,75,4.12,CA,1691678449
32,Fort St. John,56.2499,-120.8529,13.94,77,75,4.63,CA,1691678595
33,Port Lincoln,-34.7333,135.8667,10.39,75,1,2.01,AU,1691678595
34,Aykhal,66.0,111.5,17.43,77,90,3.01,RU,1691678595
35,Ceeldheer,3.8488,47.1806,25.72,75,59,10.07,SO,1691678595
36,Paracuru,-3.41,-39.0306,27.84,45,22,6.96,BR,1691678595
37,Margaret River,-33.95,115.0667,12.17,77,45,2.26,AU,1691678595
38,Qaqortoq,60.7167,-46.0333,7.83,75,5,3.37,GL,1691678595
39,Sandnessjoen,66.0217,12.6316,17.29,72,40,1.03,NO,1691678595
40,Nuuk,64.1835,-51.7216,8.34,81,100,2.57,GL,1691678595
41,Shingu,33.7333,135.9833,25.85,93,28,3.82,JP,1691678361
42,Hawaiian Paradise Park,19.5933,-154.9731,22.73,97,100,1.54,US,1691678595
43,Edinburgh Of The Seven Seas,-37.0676,-12.3116,11.24,65,27,10.67,SH,1691678595
44,Magadan,59.5667,150.8,10.71,83,26,1.93,RU,1691678595
45,Mount Isa,-20.7333,139.5,11.87,71,0,0.51,AU,1691678595
46,La'Ie,21.6477,-157.9253,25.98,75,7,7.49,US,1691678595
47,Bethel,41.3712,-73.414,26.94,70,0,2.06,US,1691678595
48,Anadyr,64.75,177.4833,7.28,93,75,3.0,RU,1691678595
49,Papatowai,-46.5619,169.4708,3.1,86,100,2.38,NZ,1691678596
50,Bredasdorp,-34.5322,20.0403,21.79,58,0,0.6,ZA,1691678596
51,Wajir,1.7471,40.0573,30.98,42,75,6.17,KE,1691678596
52,Khandyga,62.6667,135.6,15.25,59,76,1.91,RU,1691678596
53,Derzhavinsk,51.1,66.3167,21.94,47,32,10.78,KZ,1691678479
54,Hammerfest,70.6634,23.6821,26.25,57,20,4.63,NO,1691678596
55,Selfoss,63.9331,-20.9971,16.14,68,100,3.92,IS,1691678596
56,Adamstown,-25.066,-130.1015,18.98,56,46,11.09,PN,1691678596
57,Egilsstadir,65.2653,-14.3948,14.95,55,75,1.54,IS,1691678596
58,Paramaribo,5.8667,-55.1667,33.28,68,9,1.34,SR,1691678325
59,Iskateley,67.6803,53.1512,18.38,59,2,4.08,RU,1691678596
60,Waitangi,-43.9535,-176.5597,9.34,80,89,7.57,NZ,1691678596
61,Ribeira Grande,38.5167,-28.7,27.22,61,20,4.47,PT,1691678596
62,Chibougamau,49.9168,-74.3659,17.79,82,40,2.57,CA,1691678596
63,Kutum,14.2,24.6667,30.51,35,14,2.66,SD,1691678596
64,Upata,8.0086,-62.3989,27.33,50,10,3.59,VE,1691678596
65,Walvis Bay,-22.9575,14.5053,17.53,72,0,2.06,NA,1691678596
66,Puerto Ayora,-0.7393,-90.3518,26.98,93,74,2.68,EC,1691678597
67,Whitehorse,60.7161,-135.0538,8.94,81,75,1.03,CA,1691678597
68,Olonkinbyen,70.9221,-8.7187,7.09,95,35,5.2,SJ,1691678597
69,Alofi,-19.0595,-169.9187,20.94,94,100,0.51,NU,1691678597
70,Albany,42.6001,-73.9662,23.98,76,99,1.57,US,1691678557
71,Alghero,40.5589,8.3181,29.05,61,20,3.6,IT,1691678597
72,Luderitz,-26.6481,15.1594,18.51,61,25,3.66,NA,1691678597
73,Benjamin Hill,30.1667,-111.1,26.78,54,66,1.98,MX,1691678597
74,Selizharovo,56.8519,33.4487,22.76,45,83,1.17,RU,1691678597
75,Igarape Miri,-1.975,-48.9597,31.84,58,59,1.78,BR,1691678597
76,Tura,25.5198,90.2201,23.95,98,100,2.07,IN,1691678597
77,Holualoa,19.6228,-155.9522,23.91,82,0,4.63,US,1691678597
78,Cancun,21.1743,-86.8466,30.96,74,40,4.12,MX,1691678494
79,Vanino,49.0869,140.2543,13.76,96,100,1.1,RU,1691678597
80,Novyy Urengoy,66.0833,76.6333,14.82,60,14,10.0,RU,1691678597
81,Tanjung Pandan,-2.75,107.65,24.99,78,23,3.3,ID,1691678597
82,Poronaysk,49.2167,143.1167,12.82,97,100,2.38,RU,1691678597
83,Gorgan,36.8387,54.4348,35.98,34,20,5.14,IR,1691678597
84,La Libertad,-2.2333,-80.9,25.81,78,75,6.17,EC,1691678597
85,Pasni,25.2631,63.471,27.31,82,99,7.46,PK,1691678597
86,Ulanhot,46.0833,122.0833,16.82,92,3,2.75,CN,1691678598
87,Kone,-21.0595,164.8658,14.47,67,0,2.72,NC,1691678598
88,Greymouth,-42.4667,171.2,-0.65,88,62,2.98,NZ,1691678598
89,Loen,7.7601,168.2307,27.48,81,47,4.56,MH,1691678598
90,Carbonear,47.7332,-53.2148,16.24,92,100,5.96,CA,1691678598
91,Queenstown,-31.8976,26.8753,20.02,25,0,3.31,ZA,1691678598
92,Sitka,57.0531,-135.33,13.94,94,100,1.54,US,1691678598
93,Kachug,53.9606,105.8817,14.23,86,96,1.41,RU,1691678598
94,Buala,-8.145,159.5921,25.03,94,100,7.07,SB,1691678598
95,San Fernando De Apure,7.8878,-67.4724,24.34,97,100,1.83,VE,1691678598
96,Fuglafjordur,62.244,-6.814,12.26,79,70,6.37,FO,1691678598
97,Mayya,61.7333,130.2811,13.62,92,0,2.52,RU,1691678598
98,Kingston,17.997,-76.7936,32.91,69,20,2.57,JM,1691678311
99,Selty,57.3132,52.1345,24.1,60,5,2.14,RU,1691678598
100,Pandan,14.0453,124.1694,27.78,81,96,2.6,PH,1691678598
101,Ushuaia,-54.8,-68.3,3.81,75,75,4.12,AR,1691678386
102,Baker City,44.7749,-117.8344,11.84,82,0,0.0,US,1691678566
103,Isafjordur,66.0755,-23.124,11.02,62,40,5.14,IS,1691678598
104,Greenwood,34.1668,-82.1165,26.27,55,20,3.09,US,1691678598
105,Kristiansund,63.1115,7.732,12.36,87,75,1.54,NO,1691678598
106,Pogar,52.554,33.2591,22.81,52,100,3.19,RU,1691678598
107,Aasiaat,68.7098,-52.8699,3.63,90,100,1.18,GL,1691678599
108,Djibo,14.1022,-1.6306,31.99,50,97,4.55,BF,1691678599
109,Uribia,11.7139,-72.266,34.1,47,86,5.88,CO,1691678599
110,Narvik,68.4384,17.4272,17.67,94,100,1.57,NO,1691678599
111,Augusta,48.3667,10.8833,24.62,43,0,1.54,DE,1691678599
112,Toliara,-23.35,43.6667,21.68,62,28,7.14,MG,1691678570
113,Vainode,56.4333,21.8667,13.99,70,100,4.84,LV,1691678599
114,Achit,56.7985,57.8994,17.9,81,12,3.53,RU,1691678599
115,Mount Pearl,47.5166,-52.7813,15.53,96,100,7.72,CA,1691678599
116,Charlottetown,46.2352,-63.1267,19.2,84,100,5.14,CA,1691678599
117,Zeya,53.75,127.2667,17.07,67,67,1.27,RU,1691678599
118,Cam Ranh,11.9214,109.1591,31.98,70,20,3.09,VN,1691678599
119,Kerema,-7.9631,145.7785,24.09,82,80,2.98,PG,1691678599
120,La Ronge,55.1001,-105.2842,15.14,72,100,6.17,CA,1691678599
121,Dalhart,36.0595,-102.5133,23.6,68,0,4.12,US,1691678599
122,Punta Arenas,-53.15,-70.9167,4.31,78,96,4.89,CL,1691678599
123,Buka,40.8108,69.1986,31.05,19,0,2.9,UZ,1691678599
124,Lihue,21.9789,-159.3672,26.77,78,100,6.69,US,1691678599
125,Oranjemund,-28.55,16.4333,23.52,37,3,2.21,NA,1691678599
126,Corinto,37.9407,22.9573,29.38,47,65,2.58,GR,1691678600
127,Bemidji,47.4736,-94.8803,18.43,77,0,2.57,US,1691678600
128,Colonia,50.9333,6.95,26.14,46,0,2.06,DE,1691678461
129,Belmonte,-15.8631,-38.8828,24.56,70,76,4.04,BR,1691678600
130,Brokopondo,4.75,-55.1667,30.05,52,0,2.14,SR,1691678600
131,Santiago Del Torno,-17.9833,-63.3833,28.1,36,0,7.01,BO,1691678600
132,San Ignacio De Velasco,-16.3667,-60.95,34.93,26,0,5.23,BO,1691678600
133,Avarua,-21.2078,-159.775,23.03,83,75,8.23,CK,1691678600
134,Curuzu Cuatia,-29.7917,-58.0546,21.17,70,100,6.35,AR,1691678450
135,Black River,18.0264,-77.8487,31.75,59,15,1.7,JM,1691678600
136,Udachny,66.4167,112.4,19.14,63,100,2.76,RU,1691678600
